Mã,ROA (%),ROE (%),ROS (%),EBIT,EBITDA,EBIT Margin (%),EBITDA Margin (%),Gross Profit Margin (%),BEP (%),Revenue Growth (%),Net Income Growth (%),Interest Coverage Ratio,Total Assets Growth (%),Current Ratio,Quick Ratio,D/A (%),D/E (%),E/A (%),Inventory Turnover,Accounts Receivable Turnover,Working Capital Turnover,Total Asset Turnover
SGS,12.954965584000158,15.135680982950362,17.76641099559624,46049068536.8,51984827538.8,22.15690372780938,25.108919585859145,25.253025929182222,16.125433839244543,1.1048836305505016,3.6245440174294785,-1008.9458377099984,11.118664348740717,6.563993546832114,6.537552448049323,14.021012236413096,16.371665909431993,85.9789877635869,260.11439888341766,6.7770779894211906,1.352744221672697,0.7546686083980821
SGT,1.1116535768628952,4.155290604269181,5.7038799773839015,28884705876.8,46033621305.8,2.8295655258125167,4.740060579976103,24.841809016383102,0.5416476608113305,47.12937049173057,155.6942249009775,-0.5824805410821924,38.77469866076895,1.6706547932070444,0.9759032792803163,71.49631111585964,260.5510617918834,28.50368888414035,0.868806611121585,0.7090077639524561,1.0966517232836765,0.23228031311707356
SGV,-2.1863390823219095,-3.6944037230181155,-5.591439084072246,-904777593.0,-712655951.0,-5.591439084072246,-4.860051405318721,3.574252311445124,-2.1863390823219095,-58.14587726846364,-584.0805474040657,,-8.966863206356017,2.348257553043978,1.6844187781847475,41.1105459118018,69.81160826028882,58.88945408819821,2.6107088426440432,1.158113531919161,0.7639725836871142,0.4192899637031071
SHA,1.798230108245938,4.342117061175283,1.7183152668422796,-12781163168.2,6210022223.8,-1.1673808930276497,0.6772184105772477,13.394947944106528,-1.2429979117688246,5.407957839462464,-11.885016378499358,0.33975318508819385,4.567712319891332,1.3600514913867643,0.7001242937652837,58.84923800908291,143.2895210475969,41.1507619909171,2.7506483455990915,3.4726490158388783,5.27336177133926,1.0748687498224316
SHB,1.0836263442425547,14.700876724199679,,,,,,,,,41.75342798539199,,16.117119190750497,,,92.73727180638487,1295.3890461605563,7.262728193615129,,,,
SHC,6.269367857433833,7.864180884565177,5.724084525255992,6598305616.75,6598305616.75,6.92170495266072,6.92170495266072,9.964986489339804,7.584127300159396,-0.8612058619245815,-11.515343670095687,,-0.8111280632597458,2.928226927634905,2.9258358398441713,18.843368242343175,23.914775257978306,81.15663175765683,7605.375750655557,7.0701918818173475,4.377442569205843,1.1171769761395394
SHE,8.261395231637673,15.570149461538843,8.052312974917085,18490944961.4,18490944961.4,8.244661658613627,8.244661658613627,15.868199464655396,8.59479342718638,-3.8036372468890844,-8.730440266740782,-8.272713403925056,8.644394226705378,2.166068378375713,1.4572612232637376,45.434440261170174,85.45583609958604,54.565559738829826,4.553696783978023,1.8450641938858392,2.2001916673393125,0.9994739451434975
SHG,-4.865629523849228,7.26964119450193,-346.23355222997793,-120342502281.66667,-120120269873.66667,-668.7843650723681,-667.6230569748396,38.49608079037677,-9.58678980901225,-34.401710590211934,12.145548476831502,2.021510491751649,-8.986222950951806,0.5378905050104945,0.29258098054236553,167.75432317309702,-256.6281471349956,-67.75432317309703,0.07913746681416657,0.03895991909543573,-0.03891280876817034,0.020747492179114205
SHI,1.488518998694036,5.888316593575675,1.2590464076795476,-90055268199.4,-4465150046.4,-0.9781928774368357,0.12806003237064192,10.829152839263454,-1.1646660528379458,20.57355825092182,17.92778497498498,0.3044735809336793,20.81856962115586,1.1505466281170051,0.8337522044472232,74.40909564668483,294.81490922319193,25.590904353315175,6.015864925455281,2.766127168462528,12.83962130711594,1.2934355165814722
SHN,0.46581234240065755,1.1863274951884673,0.49007467439137137,-124068349710.2,-121965921395.2,-2.5922332791319853,-2.543979031524148,2.2641881278860745,-2.308105598346818,5.809459595488873,15.975543333265168,0.6765586635118053,12.045759278141876,1.1432052266569326,1.0040142026978647,66.56917143518771,210.6493510771053,33.430828564812295,78.92244073656884,1.4591038928275608,27.017002651048855,0.9793893996201979
